date,n
Sat 22 Nov 2014,304
Sun 23 Nov 2014,991
Mon 24 Nov 2014,1230
Tue 25 Nov 2014,2010
Wed 26 Nov 2014,1972
Thu 27 Nov 2014,1992
Fri 28 Nov 2014,1759
Sat 29 Nov 2014,985
Sun 30 Nov 2014,773
Mon 1 Dec 2014,1817
Tue 2 Dec 2014,2159
Wed 3 Dec 2014,1790
Thu 4 Dec 2014,1959
Fri 5 Dec 2014,1534
Sat 6 Dec 2014,705
Sun 7 Dec 2014,400
Mon 8 Dec 2014,1796
Tue 9 Dec 2014,2096
Wed 10 Dec 2014,1956
Thu 11 Dec 2014,1791
Fri 12 Dec 2014,1730
Sat 13 Dec 2014,905
Sun 14 Dec 2014,793
Mon 15 Dec 2014,1996
Tue 16 Dec 2014,1884
Wed 17 Dec 2014,1935
Thu 18 Dec 2014,1535
Fri 19 Dec 2014,1361
Sat 20 Dec 2014,1041
Sun 21 Dec 2014,823
Mon 22 Dec 2014,1396
Tue 23 Dec 2014,1219
Wed 24 Dec 2014,886
Thu 25 Dec 2014,296
Fri 26 Dec 2014,475
Sat 27 Dec 2014,750
Sun 28 Dec 2014,622
Mon 29 Dec 2014,747
Tue 30 Dec 2014,786
Wed 31 Dec 2014,929
Thu 1 Jan 2015,618
Fri 2 Jan 2015,614
Sat 3 Jan 2015,326
Sun 4 Jan 2015,722
Mon 5 Jan 2015,1752
Tue 6 Jan 2015,1838
Wed 7 Jan 2015,1379
Thu 8 Jan 2015,1174
Fri 9 Jan 2015,799
Sat 10 Jan 2015,570
Sun 11 Jan 2015,960
Mon 12 Jan 2015,2029
Tue 13 Jan 2015,1368
Wed 14 Jan 2015,1215
Thu 15 Jan 2015,1768
Fri 16 Jan 2015,1735
Sat 17 Jan 2015,990
Sun 18 Jan 2015,907
Mon 19 Jan 2015,1986
Tue 20 Jan 2015,1933
Wed 21 Jan 2015,1962
Thu 22 Jan 2015,1713
Fri 23 Jan 2015,1659
Sat 24 Jan 2015,903
Sun 25 Jan 2015,776
Mon 26 Jan 2015,716
Tue 27 Jan 2015,1875
Wed 28 Jan 2015,2055
Thu 29 Jan 2015,2057
Fri 30 Jan 2015,1866
Sat 31 Jan 2015,1008
Sun 1 Feb 2015,405
Mon 2 Feb 2015,1917
Tue 3 Feb 2015,2310
Wed 4 Feb 2015,2103
Thu 5 Feb 2015,2332
Fri 6 Feb 2015,1968
Sat 7 Feb 2015,807
Sun 8 Feb 2015,832
Mon 9 Feb 2015,2205
Tue 10 Feb 2015,2288
Wed 11 Feb 2015,2011
Thu 12 Feb 2015,2178
Fri 13 Feb 2015,1637
Sat 14 Feb 2015,736
Sun 15 Feb 2015,882
Mon 16 Feb 2015,2220
Tue 17 Feb 2015,2165
Wed 18 Feb 2015,2083
Thu 19 Feb 2015,2038
Fri 20 Feb 2015,2043
Sat 21 Feb 2015,978
Sun 22 Feb 2015,847
Mon 23 Feb 2015,1815
Tue 24 Feb 2015,2202
Wed 25 Feb 2015,2324
Thu 26 Feb 2015,2163
Fri 27 Feb 2015,2011
Sat 28 Feb 2015,918
Sun 1 Mar 2015,894
Mon 2 Mar 2015,2283
Tue 3 Mar 2015,2471
Wed 4 Mar 2015,2427
Thu 5 Mar 2015,2004
Fri 6 Mar 2015,1656
Sat 7 Mar 2015,847
Sun 8 Mar 2015,891
Mon 9 Mar 2015,992
Tue 10 Mar 2015,2327
Wed 11 Mar 2015,2381
Thu 12 Mar 2015,2001
Fri 13 Mar 2015,2019
Sat 14 Mar 2015,1007
Sun 15 Mar 2015,842
Mon 16 Mar 2015,2190
Tue 17 Mar 2015,2072
Wed 18 Mar 2015,2213
Thu 19 Mar 2015,1977
Fri 20 Mar 2015,1992
Sat 21 Mar 2015,1142
Sun 22 Mar 2015,993
Mon 23 Mar 2015,1902
Tue 24 Mar 2015,1751
Wed 25 Mar 2015,2014
Thu 26 Mar 2015,1772
Fri 27 Mar 2015,1600
Sat 28 Mar 2015,958
Sun 29 Mar 2015,996
Mon 30 Mar 2015,2116
Tue 31 Mar 2015,2177
Wed 1 Apr 2015,2024
Thu 2 Apr 2015,1611
Fri 3 Apr 2015,727
Sat 4 Apr 2015,734
Sun 5 Apr 2015,590
Mon 6 Apr 2015,672
Tue 7 Apr 2015,1260
Wed 8 Apr 2015,1479
Thu 9 Apr 2015,1789
Fri 10 Apr 2015,1706
Sat 11 Apr 2015,1066
Sun 12 Apr 2015,875
Mon 13 Apr 2015,2112
Tue 14 Apr 2015,1716
Wed 15 Apr 2015,2010
Thu 16 Apr 2015,1985
Fri 17 Apr 2015,1533
Sat 18 Apr 2015,727
Sun 19 Apr 2015,381
Mon 20 Apr 2015,1897
Tue 21 Apr 2015,2001
Wed 22 Apr 2015,2023
Thu 23 Apr 2015,1997
Fri 24 Apr 2015,1642
Sat 25 Apr 2015,325
Sun 26 Apr 2015,388
Mon 27 Apr 2015,1782
Tue 28 Apr 2015,1849
Wed 29 Apr 2015,2118
Thu 30 Apr 2015,2080
Fri 1 May 2015,1903
Sat 2 May 2015,910
Sun 3 May 2015,920
Mon 4 May 2015,2079
Tue 5 May 2015,1190
Wed 6 May 2015,1776
Thu 7 May 2015,1626
Fri 8 May 2015,1628
Sat 9 May 2015,809
Sun 10 May 2015,338
Mon 11 May 2015,1536
Tue 12 May 2015,1506
Wed 13 May 2015,857
Thu 14 May 2015,1428
Fri 15 May 2015,1421
Sat 16 May 2015,915
Sun 17 May 2015,936
Mon 18 May 2015,2079
Tue 19 May 2015,1641
Wed 20 May 2015,1729
Thu 21 May 2015,1205
Fri 22 May 2015,1511
Sat 23 May 2015,861
Sun 24 May 2015,782
Mon 25 May 2015,1833
Tue 26 May 2015,1996
Wed 27 May 2015,1933
Thu 28 May 2015,1564
Fri 29 May 2015,1585
Sat 30 May 2015,900
Sun 31 May 2015,513
Mon 1 Jun 2015,1160
Tue 2 Jun 2015,1257
Wed 3 Jun 2015,1607
Thu 4 Jun 2015,1316
Fri 5 Jun 2015,1310
Sat 6 Jun 2015,780
Sun 7 Jun 2015,449
Mon 8 Jun 2015,565
Tue 9 Jun 2015,1596
Wed 10 Jun 2015,1662
Thu 11 Jun 2015,1659
Fri 12 Jun 2015,1472
Sat 13 Jun 2015,808
Sun 14 Jun 2015,724
Mon 15 Jun 2015,1752
Tue 16 Jun 2015,1399
Wed 17 Jun 2015,1546
Thu 18 Jun 2015,1225
Fri 19 Jun 2015,1312
Sat 20 Jun 2015,733
Sun 21 Jun 2015,731
Mon 22 Jun 2015,1528
Tue 23 Jun 2015,1576
Wed 24 Jun 2015,1673
Thu 25 Jun 2015,1505
Fri 26 Jun 2015,1352
Sat 27 Jun 2015,741
Sun 28 Jun 2015,701
Mon 29 Jun 2015,1557
Tue 30 Jun 2015,1688
Wed 1 Jul 2015,1588
Thu 2 Jul 2015,1203
Fri 3 Jul 2015,1218
Sat 4 Jul 2015,353
Sun 5 Jul 2015,583
Mon 6 Jul 2015,730
Tue 7 Jul 2015,1389
Wed 8 Jul 2015,1518
Thu 9 Jul 2015,1399
Fri 10 Jul 2015,1187
Sat 11 Jul 2015,342
Sun 12 Jul 2015,152
Mon 13 Jul 2015,677
Tue 14 Jul 2015,1018
Wed 15 Jul 2015,1167
Thu 16 Jul 2015,1382
Fri 17 Jul 2015,791
Sat 18 Jul 2015,626
Sun 19 Jul 2015,634
Mon 20 Jul 2015,1615
Tue 21 Jul 2015,1558
Wed 22 Jul 2015,1423
Thu 23 Jul 2015,1603
Fri 24 Jul 2015,1020
Sat 25 Jul 2015,561
Sun 26 Jul 2015,351
Mon 27 Jul 2015,1562
Tue 28 Jul 2015,1587
Wed 29 Jul 2015,1697
Thu 30 Jul 2015,1251
Fri 31 Jul 2015,1335
Sat 1 Aug 2015,439
Sun 2 Aug 2015,615
Mon 3 Aug 2015,977
Tue 4 Aug 2015,1555
Wed 5 Aug 2015,1281
Thu 6 Aug 2015,1003
Fri 7 Aug 2015,1145
Sat 8 Aug 2015,608
Sun 9 Aug 2015,553
Mon 10 Aug 2015,1396
Tue 11 Aug 2015,1596
Wed 12 Aug 2015,1282
Thu 13 Aug 2015,1477
Fri 14 Aug 2015,1360
Sat 15 Aug 2015,755
Sun 16 Aug 2015,706
Mon 17 Aug 2015,1173
Tue 18 Aug 2015,1376
Wed 19 Aug 2015,1787
Thu 20 Aug 2015,1674
Fri 21 Aug 2015,1353
Sat 22 Aug 2015,923
Sun 23 Aug 2015,776
Mon 24 Aug 2015,1706
Tue 25 Aug 2015,1647
Wed 26 Aug 2015,1728
Thu 27 Aug 2015,989
Fri 28 Aug 2015,1045
Sat 29 Aug 2015,490
Sun 30 Aug 2015,585
Mon 31 Aug 2015,1724
Tue 1 Sep 2015,1814
Wed 2 Sep 2015,1561
Thu 3 Sep 2015,1526
Fri 4 Sep 2015,1754
Sat 5 Sep 2015,786
Sun 6 Sep 2015,616
Mon 7 Sep 2015,1261
Tue 8 Sep 2015,1312
Wed 9 Sep 2015,1554
Thu 10 Sep 2015,1760
Fri 11 Sep 2015,1701
Sat 12 Sep 2015,872
Sun 13 Sep 2015,1070
Mon 14 Sep 2015,1939
Tue 15 Sep 2015,1302
Wed 16 Sep 2015,1797
Thu 17 Sep 2015,1634
Fri 18 Sep 2015,1343
Sat 19 Sep 2015,959
Sun 20 Sep 2015,1030
Mon 21 Sep 2015,1370
Tue 22 Sep 2015,1093
Wed 23 Sep 2015,1548
Thu 24 Sep 2015,1536
Fri 25 Sep 2015,1501
Sat 26 Sep 2015,1020
Sun 27 Sep 2015,1100
Mon 28 Sep 2015,1726
Tue 29 Sep 2015,1810
Wed 30 Sep 2015,1682
Thu 1 Oct 2015,1761
Fri 2 Oct 2015,1090
Sat 3 Oct 2015,899
Sun 4 Oct 2015,947
Mon 5 Oct 2015,1999
Tue 6 Oct 2015,1862
Wed 7 Oct 2015,2135
Thu 8 Oct 2015,2130
Fri 9 Oct 2015,1839
Sat 10 Oct 2015,959
Sun 11 Oct 2015,980
Mon 12 Oct 2015,1283
Tue 13 Oct 2015,2207
Wed 14 Oct 2015,2471
Thu 15 Oct 2015,2074
Fri 16 Oct 2015,1696
Sat 17 Oct 2015,1021
Sun 18 Oct 2015,1114
Mon 19 Oct 2015,2170
Tue 20 Oct 2015,2102
Wed 21 Oct 2015,1625
Thu 22 Oct 2015,1694
Fri 23 Oct 2015,1661
Sat 24 Oct 2015,1101
Sun 25 Oct 2015,913
Mon 26 Oct 2015,1549
Tue 27 Oct 2015,2140
Wed 28 Oct 2015,2120
Thu 29 Oct 2015,2170
Fri 30 Oct 2015,1829
Sat 31 Oct 2015,539
Sun 1 Nov 2015,647
Mon 2 Nov 2015,1188
Tue 3 Nov 2015,1025
Wed 4 Nov 2015,1892
Thu 5 Nov 2015,849
Fri 6 Nov 2015,1210
Sat 7 Nov 2015,786
Sun 8 Nov 2015,1079
Mon 9 Nov 2015,2159
Tue 10 Nov 2015,1594
Wed 11 Nov 2015,1963
Thu 12 Nov 2015,1830
Fri 13 Nov 2015,1553
Sat 14 Nov 2015,824
Sun 15 Nov 2015,952
Mon 16 Nov 2015,2122
Tue 17 Nov 2015,2082
Wed 18 Nov 2015,2266
Thu 19 Nov 2015,1913
Fri 20 Nov 2015,1471
Sat 21 Nov 2015,837
Sun 22 Nov 2015,1017
Mon 23 Nov 2015,1969
Tue 24 Nov 2015,2314
Wed 25 Nov 2015,1929
Thu 26 Nov 2015,1362
Fri 27 Nov 2015,1625
Sat 28 Nov 2015,1011
Sun 29 Nov 2015,917
Mon 30 Nov 2015,1950
Tue 1 Dec 2015,2035
Wed 2 Dec 2015,2079
Thu 3 Dec 2015,1975
Fri 4 Dec 2015,1704
Sat 5 Dec 2015,1086
Sun 6 Dec 2015,906
Mon 7 Dec 2015,1868
Tue 8 Dec 2015,1497
Wed 9 Dec 2015,2189
Thu 10 Dec 2015,1994
Fri 11 Dec 2015,1373
Sat 12 Dec 2015,805
Sun 13 Dec 2015,917
Mon 14 Dec 2015,2120
Tue 15 Dec 2015,2196
Wed 16 Dec 2015,1980
Thu 17 Dec 2015,1581
Fri 18 Dec 2015,1150
Sat 19 Dec 2015,435
Sun 20 Dec 2015,347
Mon 21 Dec 2015,1526
Tue 22 Dec 2015,1711
Wed 23 Dec 2015,1450
Thu 24 Dec 2015,864
Fri 25 Dec 2015,225
Sat 26 Dec 2015,261
Sun 27 Dec 2015,605
Mon 28 Dec 2015,697
Tue 29 Dec 2015,990
Wed 30 Dec 2015,844
Thu 31 Dec 2015,485
Fri 1 Jan 2016,484
Sat 2 Jan 2016,668
Sun 3 Jan 2016,757
Mon 4 Jan 2016,1483
Tue 5 Jan 2016,1591
Wed 6 Jan 2016,1538
Thu 7 Jan 2016,1662
Fri 8 Jan 2016,1506
