DATA_TYPE,TIS_DATA_REQUEST,SITE_XN_ROUTE,LOC_LEG,DATE,TIME,CLASS,LANE,SPEED,WHEELBASE,HEADWAY,GAP,AXLE,AXLE_GROUPING,RHO,VEHICLE,DIRECTION
IND,5555,32021,60182,17/01/2020,02:18:16,15,3,41.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,17/01/2020,04:38:35,15,1,14.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,17/01/2020,04:38:36,15,2,11.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,17/01/2020,04:38:36,15,1,12.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,17/01/2020,04:38:37,15,2,12.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,17/01/2020,04:48:54,15,1,25.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,17/01/2020,04:49:35,15,1,30.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,17/01/2020,04:57:14,15,3,24.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,17/01/2020,05:13:55,15,1,26.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,17/01/2020,05:26:51,15,1,26.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,17/01/2020,05:26:51,15,1,26.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,17/01/2020,05:27:51,15,1,24.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,17/01/2020,05:32:15,15,1,25.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,17/01/2020,05:33:24,15,1,27.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,17/01/2020,05:33:52,15,1,25.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,17/01/2020,05:33:52,15,1,25.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,17/01/2020,05:36:39,15,1,18.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,17/01/2020,05:39:37,15,1,27.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,17/01/2020,05:40:11,15,1,24.0,,,,2,,1.0,Cycle,S
